fips,name,pop
17163,"St. Clair County, Illinois",261186
17165,"Saline County, Illinois",23735
17167,"Sangamon County, Illinois",195963
17169,"Schuyler County, Illinois",6897
17171,"Scott County, Illinois",4982
17173,"Shelby County, Illinois",21623
17175,"Stark County, Illinois",5393
17177,"Stephenson County, Illinois",44683
17179,"Tazewell County, Illinois",132524
17181,"Union County, Illinois",16829
17183,"Vermilion County, Illinois",76704
17185,"Wabash County, Illinois",11390
17187,"Warren County, Illinois",16981
17189,"Washington County, Illinois",13967
17191,"Wayne County, Illinois",16309
17193,"White County, Illinois",13712
17195,"Whiteside County, Illinois",55583
17197,"Will County, Illinois",689704
17199,"Williamson County, Illinois",66929
17201,"Winnebago County, Illinois",283635
17203,"Woodford County, Illinois",38503
18001,"Adams County, Indiana",35544
18003,"Allen County, Indiana",375520
18005,"Bartholomew County, Indiana",83280
18007,"Benton County, Indiana",8695
18009,"Blackford County, Indiana",11926
18011,"Boone County, Indiana",66875
18013,"Brown County, Indiana",15093
18015,"Carroll County, Indiana",20137
18017,"Cass County, Indiana",37727
18019,"Clark County, Indiana",117410
18021,"Clay County, Indiana",26231
18023,"Clinton County, Indiana",32186
18025,"Crawford County, Indiana",10582
18027,"Daviess County, Indiana",33277
18029,"Dearborn County, Indiana",49612
18031,"Decatur County, Indiana",26587
18033,"DeKalb County, Indiana",43193
18035,"Delaware County, Indiana",114461
18037,"Dubois County, Indiana",42534
18039,"Elkhart County, Indiana",205184
18041,"Fayette County, Indiana",23068
18043,"Floyd County, Indiana",77879
18045,"Fountain County, Indiana",16456
18047,"Franklin County, Indiana",22750
18049,"Fulton County, Indiana",20069
18051,"Gibson County, Indiana",33711
18053,"Grant County, Indiana",66055
18055,"Greene County, Indiana",32174
18057,"Hamilton County, Indiana",330455
18059,"Hancock County, Indiana",76614
18061,"Harrison County, Indiana",40164
18063,"Hendricks County, Indiana",166806
18065,"Henry County, Indiana",48158
18067,"Howard County, Indiana",82486
18069,"Huntington County, Indiana",36351
18071,"Jackson County, Indiana",44077
18073,"Jasper County, Indiana",33433
18075,"Jay County, Indiana",20697
18077,"Jefferson County, Indiana",32167
18079,"Jennings County, Indiana",27639
18081,"Johnson County, Indiana",156148
18083,"Knox County, Indiana",36833
18085,"Kosciusko County, Indiana",79156
18087,"LaGrange County, Indiana",39537
18089,"Lake County, Indiana",485983
18091,"LaPorte County, Indiana",110026
18093,"Lawrence County, Indiana",45552
18095,"Madison County, Indiana",129486
18097,"Marion County, Indiana",957337
18099,"Marshall County, Indiana",46336
18101,"Martin County, Indiana",10169
18103,"Miami County, Indiana",35684
18105,"Monroe County, Indiana",147318
18107,"Montgomery County, Indiana",38295
18109,"Morgan County, Indiana",70141
18111,"Newton County, Indiana",13981
18113,"Noble County, Indiana",47640
18115,"Ohio County, Indiana",5890
18117,"Orange County, Indiana",19552
18119,"Owen County, Indiana",20854
18121,"Parke County, Indiana",16912
18123,"Perry County, Indiana",19091
18125,"Pike County, Indiana",12364
18127,"Porter County, Indiana",169482
18129,"Posey County, Indiana",25480
18131,"Pulaski County, Indiana",12482
18133,"Putnam County, Indiana",37419
18135,"Randolph County, Indiana",24694
18137,"Ripley County, Indiana",28457
18139,"Rush County, Indiana",16632
18141,"St. Joseph County, Indiana",270881
18143,"Scott County, Indiana",23785
18145,"Shelby County, Indiana",44559
18147,"Spencer County, Indiana",20364
18149,"Starke County, Indiana",22996
